destacado,ccaa,provincia,municipio,mostrar,id,nombre,codigo_ine,titularidad,derribo,doble_titu,fin,uso,descripcion,direccion,latitud,longitud,coor_google,foto_1,fuente_1,foto_2,fuente_2,foto_3,fuente_3,participante,anadido
,Andalucía,Málaga,Casares,true,2904101,Antiguo hotel Doña Julia,29041,Privada,,false,Residencial turístico/hotelero,Sin uso,"Este complejo hotelero, que linda entre Casares y Manilva, comenzó a construirse a principios del milenio. Se sitúa junto al campo de golf Doña Julia y pretendía erigirse como un recinto con instalaciones de lujo y muy alta gama, según comentan vecinos de la zona. En la <a href=""https://www.casares.es/tag/dona-julia/"" target=""_blank"">web del ayuntamiento de Casares</a> se puede seguir el cambio de manos que ha tenido esta construcción en los últimos años.","Calle Doña Julia, 29690",36.3852773,-5.2293978,"https://www.google.com/maps/@36.3852773,-5.2293978,3a,75y,203.03h,88.5t/data=!3m6!1e1!3m4!1s4pegK4AL4uJYuGAOFJe0hQ!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/casares_1.jpg,,,,,,José María Altamirano,Previo al lanzamiento del proyecto
,Aragón,Huesca,Panticosa,true,2217001,Aparcamiento Balneario de Panticosa,22170,Privada,,false,Otros,Sin uso,"Se trata de un aparcamiento inacabado que, según explican en <a href=""https://www.heraldo.es/noticias/aragon/huesca/2022/06/06/el-balneario-de-panticosa-empieza-a-librarse-del-hormigon-1579606.html"" target=""_blank""><i>Heraldo de Aragón</i></a>, quedó paralizado con la llegada de la crisis de 2008. En su momento se colocaron máquinas de cobro e incluso se dejaron pintadas las plazas. Las imágenes de Google Maps, de junio de 2012, dan muestra de la situación en ese momento, y es en el navegador Bing donde se puede observar el <a href=""https://www.bing.com/maps/?cp=42.755635%7E-0.238674&lvl=14.2&sty=h&style=x"" target=""_blank"">panorama en 2020</a>. La constructora Hinaco sigue mostrando su <a href=""https://hinaco.es/constructora/aparcamiento-para-visitantes-en-el-balneario-de-panticosa/"" target=""_blank"">web</a> fotografías del proyecto.","Carretera del Balneario, A-2606, 22661",42.7565012,-0.2383641,"https://www.google.com/maps/@42.7554796,-0.2389619,3a,75y,92.69h,88.52t/data=!3m6!1e1!3m4!1sAWCGkRocCpz9ty_aGzPqFw!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,María Jesús Lera (Centro Territorial RTVE Aragón),Previo al lanzamiento del proyecto
,País Vasco,Araba,Laguardia,true,0103101,Bloque de viviendas en Laguardia,01031,Privada,,false,Residencial,Sin uso,"Según cuentan desde la <a href=""https://www.haya.es/"" target=""_blank"">inmobiliaria Haya</a>, los bloques de edificios están acabados al 80% y están equipados por dentro. Sin embargo, la obra lleva parada desde 2008-2009 por diversos motivos. En un primer momento por la falta de subvenciones, que llevó al primer promotor a abandonar el proyecto. Más adelante, el plan urbanístico municipal en el que se colocaba la construcción fue modificado por parte del Ayuntamiento, por lo que es necesario solventarlo antes de continuar con la finalización, ya que ha habido compradores interesados.","Polígono Casablanca, A-124, 01321",42.4892485,-2.4828407,"https://www.google.com/maps/@42.4892485,-2.4828407,3a,74.8y,204.83h,90.11t/data=!3m6!1e1!3m4!1seo6kFy10pOz0EPMI77-3Dw!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/laguardia_1.jpg,Erika Méndez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/laguardia_12.jpg,Erika Méndez,,,G. P.,Previo al lanzamiento del proyecto
,Región de Murcia,Región de Murcia,Alhama de Murcia,true,3000801,Campo de Vuelo Residential,30008,Privada,,false,Residencial,Uso parcial,"Localizado gracias a <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg, y a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. De la urbanización Campo de Vuelo Residential, también conocida como ""Pequeña Ciudad del Vuelo"", solo ha visto la luz la pista de aterrizaje, que ahora es propiedad de Rotorsun, un grupo de servicios aéreos, según informaba <a href=""https://murciaplaza.com/rotorsun-compra-el-aerodromo-de-la-fallida-urbanizacion-campo-de-vuelo-de-alhama"" target=""_blank""><i>Murcia Plaza</i></a> en 2021. El Ayuntamiento de Alhama de Murcia también confirma que el concurso de acreedores en el que entró la empresa propietaria finalizó en 2022 y que una parte de las parcelas para futuras edificaciones pertenece ahora a una inmobiliaria. La otra parte, que está parcialmente urbanizada, ha sido devuelta a empresas agrícolas que cedieron en su momento esos terrenos.","Calle Vial Principal, 30849",37.7572213,-1.2981318,"https://www.google.com/maps/@37.7572213,-1.2981318,3a,75y,210.7h,90.06t/data=!3m6!1e1!3m4!1sSrhBxBNuPlb27SWR207evQ!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Región de Murcia,Región de Murcia,Alhama de Murcia,false,3000801,Campo de Vuelo Residential,30008,Privada,,false,Deportivo,Uso parcial,"Localizado gracias a <i>Ruinas Modernas. Una topografía de lucro</i>, de Julia Schulz-Dornburg, y a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. De la urbanización Campo de Vuelo Residential, también conocida como ""Pequeña Ciudad del Vuelo"", solo ha visto la luz la pista de aterrizaje, que ahora es propiedad de Rotorsun, un grupo de servicios aéreos, según informaba <a href=""https://murciaplaza.com/rotorsun-compra-el-aerodromo-de-la-fallida-urbanizacion-campo-de-vuelo-de-alhama"" target=""_blank""><i>Murcia Plaza</i></a> en 2021. El Ayuntamiento de Alhama de Murcia también confirma que el concurso de acreedores en el que entró la empresa propietaria finalizó en 2022 y que una parte de las parcelas para futuras edificaciones pertenece ahora a una inmobiliaria. La otra parte, que está parcialmente urbanizada, ha sido devuelta a empresas agrícolas que cedieron en su momento esos terrenos.","Calle Vial Principal, 30849",37.7572213,-1.2981318,"https://www.google.com/maps/@37.7572213,-1.2981318,3a,75y,210.7h,90.06t/data=!3m6!1e1!3m4!1sSrhBxBNuPlb27SWR207evQ!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,"<i>Ruinas Modernas. Una topografía de lucro<i>, de Julia Schulz-Dornburg",Previo al lanzamiento del proyecto
,Andalucía,Córdoba,Córdoba,true,1402101,Carretera a medias Ronda Norte,14021,Pública,,false,Infraestructuras,Uso parcial,"Localizado gracias a la base de datos en <a href=""https://github.com/cadaveresinmob"" target=""_blank"">GitHub</a> de la antigua web Cadáveres inmobiliarios. La conocida como ""Ronda Norte"" tiene como objeto cerrar el anillo viario que debía cerrar Córdoba. Según informa Ángela Rodríguez, vecina de Córdoba, hay un tramo de la carretera que aún no está asfaltado y que sigue siendo ""campo"".","Ronda Norte, 14014",37.9035214,-4.7742361,"https://www.google.com/maps/@37.9035214,-4.7742361,3a,75y,287.92h,87.96t/data=!3m6!1e1!3m4!1s1o7nVRT94c840k6wzsuQmQ!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/cordoba_1.jpg,Ángela Rodríguez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/cordoba_12.jpg,Ángela Rodríguez,https://rtve.es/contenidos/fotos/datos/2023/hormigon/cordoba_13.jpg,Ángela Rodríguez,Cadáveres inmobiliarios / Ángela Rodríguez ,Previo al lanzamiento del proyecto
,Castilla y León,Burgos,Cardeñadijo,true,0907301,Casa consistorial de Cardeñadijo,09073,Pública,,false,Infraestructuras,Sin uso,"La casa consistorial, junto con el polideportivo y el centro de salud, fueron proyectados en 2003 por la UTE MD Proycon y la Promotora Santa Catalina en suelo cedido por el municipio. No obstante, el Ayuntamiento de Cardeñadijo nunca los recepcionó y no se llegaron a usar; varios cargos del consistorio fueron acusados de prevaricación y falsificación documental, aunque fueron absueltos. Finalmente, en marzo de 2023, han pasado a ser edificios públicos y serán reparados para darles un nuevo uso, según explican desde <a href=""https://www.diariodeburgos.es/amp/noticia/z5a710fd9-d96d-9d96-31a034df4813f22f/202303/cardenadijo-reparara-tres-edificios-abandonados"" target=""_blank""><i>Diario de Burgos</i></a>. De momento se desconoce el uso que se le dará finalmente. Las imágenes más recientes disponibles en Google Maps son de octubre de 2013.","Calle el Carmen, 09195",42.2991516,-3.6673099,"https://www.google.com/maps/@42.2991516,-3.6673099,3a,75y,219.5h,100.08t/data=!3m6!1e1!3m4!1sM8O3jTuhDUIAINth-GE1BA!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto1.png,,,,,,A. B. P. V.,Previo al lanzamiento del proyecto
,Aragón,Teruel,Escucha,true,4409901,Casa de Cultura,44099,Pública,,false,Otros,Sin uso,"A la espera de confirmación por parte del Ayuntamiento de Escucha, vecinos de la localidad comentan que la estructura iba a albergar una Casa de Cultura. Pese a que las imágenes de Google Maps muestran que los andamios llevan ahí desde 2011, algunas fuentes apuntan a que comenzó a construirse en la década de los 90, pero que se paró por falta de subvenciones.","Calle Cabecico del Moro 3, 44770",40.7929656,-0.8109799,"https://www.google.com/maps/@40.7929862,-0.8114567,3a,75y,328.63h,127.44t/data=!3m6!1e1!3m4!1sjwct2ZWLmVX4wgUGpBa5vw!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/escucha_1.jpg,,,,,,Centro Territorial RTVE Aragón,Previo al lanzamiento del proyecto
,Castilla-La Mancha,Toledo,Toledo,true,4516801,Casa de la Juventud,45168,Pública,,false,Otros,Sin uso,"La Casa de la Juventud preveía abrir sus puertas en 2011, según informaba <a href=""https://www.europapress.es/castilla-lamancha/noticia-casa-juventud-toledo-podria-abrir-puertas-septiembre-ano-20110121140431.html"" target=""_blank""><i>Europa Press</i></a> por aquel entonces. Sin embargo, pese a que se ha avanzado ligeramente en la construcción desde entonces, el edificio sigue a medias (las imágenes de Google Maps solo alcanzan hasta agosto de 2019). Desde el Centro Territorial de Castilla-La Mancha informan de que la alcaldesa de la ciudad, Milagros Tolón, comentó en un acto que la idea era finalizarlo en la próxima legislatura.","Calle de Dinamarca 7, 45005",39.8774391,-4.0276999,"https://www.google.com/maps/@39.8774391,-4.0276999,3a,75y,271.48h,102.25t/data=!3m6!1e1!3m4!1sVesUBVlz1ck1kgyHfqbYzg!2e0!7i16384!8i8192",https://rtve.es/contenidos/fotos/datos/2023/hormigon/toledo_1.jpg,Eva Villasante,https://rtve.es/contenidos/fotos/datos/2023/hormigon/toledo_12.jpg,Eva Villasante,https://rtve.es/contenidos/fotos/datos/2023/hormigon/toledo_13.jpg,Eva Villasante,DatosRTVE,Previo al lanzamiento del proyecto
,Asturias,Asturias,Tarna (Caso),true,2522703,Casa del Urogallo,33015,Pública,,false,Otros,Sin uso,"En 2010, <a href=""https://www.lne.es/nalon/2010/05/08/casa-urogallo-inaugura-vacia-21344073.html"" target=""_blank""><i>La Nueva España</i></a> informaba de la inauguración de la Casa del Urogallo ""sin exposiciones ni equipamiento interior"" y <a href=""https://www.lne.es/cuencas/2020/06/01/casa-urogallo-tarna-museo-fallido-14545038.html"" target=""_blank"">en 2020</a> que el espacio fue cedido a los vecinos de la parroquia de Tarna, pero ""que no pueden usarla porque no hay suministro de agua"". El portal <a href=""http://www.sendasdeasturias.com/nalon/item/61-casa-del-urogallo.html"" target=""_blank"">Sendas de Asturias</a> cifra su inversión en más de 600.000 euros. Fuentes del Ayuntamiento de Caso, de quien depende Tarna, confirman que sigue sin usarse.","AS-117, 33997",43.1104223,-5.2255192,"https://www.google.com/maps/@43.1104223,-5.2255192,3a,75y,263.62h,82.5t/data=!3m6!1e1!3m4!1svlLOr2wAQ0tny5FsX6ySbg!2e0!7i13312!8i6656",https://rtve.es/contenidos/fotos/datos/2023/hormigon/construccion_sinfoto2.png,,,,,,Sendas de Asturias,Previo al lanzamiento del proyecto
