fecha,indicativo,estacion,provincia,temperatura,tmax_p50,anomalia,anomalia_positiva,anomalia_negativa,tipo_dato,nombre,texto_anomalia
2023-06-01,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,25,23.8,1.2,25,23.8,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+1,2"
2023-06-02,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"25,7",23.9,1.8,25.7,23.9,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+1,8"
2023-06-03,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"26,4",23.9,2.5,26.4,23.9,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,5"
2023-06-04,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"28,2",24,4.2,28.2,24,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+4,2"
2023-06-05,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"26,5",24.1,2.4,26.5,24.1,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,4"
2023-06-06,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"31,4",24.2,7.2,31.4,24.2,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+7,2"
2023-06-07,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"27,3",24.2,3.1,27.3,24.2,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+3,1"
2023-06-08,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"26,4",24.3,2.1,26.4,24.3,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,1"
2023-06-09,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"26,1",24.4,1.7,26.1,24.4,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+1,7"
2023-06-10,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,28,24.4,3.6,28,24.4,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+3,6"
2023-06-11,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"28,5",24.5,4,28.5,24.5,☀️ Día,Puerto de la Cruz (S.C. Tenerife),4
2023-06-12,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"26,6",24.5,2.1,26.6,24.5,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,1"
2023-06-13,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"25,2",24.6,0.6,25.2,24.6,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+0,6"
2023-06-14,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"25,5",24.6,0.9,25.5,24.6,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+0,9"
2023-06-15,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,27,24.6,2.4,27,24.6,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,4"
2023-06-16,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"27,9",24.7,3.2,27.9,24.7,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+3,2"
2023-06-17,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"28,4",24.8,3.6,28.4,24.8,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+3,6"
2023-06-18,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"27,3",24.8,2.5,27.3,24.8,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,5"
2023-06-19,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"27,2",24.9,2.3,27.2,24.9,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,3"
2023-06-20,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"27,5",24.9,2.6,27.5,24.9,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,6"
2023-06-21,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,29,24.9,4.1,29,24.9,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+4,1"
2023-06-22,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"28,3",25,3.3,28.3,25,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+3,3"
2023-06-23,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"27,2",25,2.2,27.2,25,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,2"
2023-06-24,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"27,3",25,2.3,27.3,25,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,3"
2023-06-25,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"27,2",25.1,2.1,27.2,25.1,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,1"
2023-06-26,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"28,8",25.1,3.7,28.8,25.1,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+3,7"
2023-06-27,C459Z,Puerto de la Cruz,Sta. Cruz De Tenerife,"27,3",25.1,2.2,27.3,25.1,☀️ Día,Puerto de la Cruz (S.C. Tenerife),"+2,2"
